date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,market,candidate,raw,uniform,gain
2025-07-17,KXHIGHNY-25JUL17,train,6,1.0050000000000001,1260,0.035,0.13678704322500268,0.14133496631215217,0.13682916666666664,0.13888888888888892,-0.004547923087149491
2025-07-18,KXHIGHNY-25JUL18,train,6,0.98,120,0.04,0.1832569762598917,0.19529283764032215,0.18206666666666663,0.13888888888888892,-0.012035861380430446
2025-07-19,KXHIGHNY-25JUL19,train,6,1.0550000000000002,600,0.03833333333333334,0.1026631627022454,0.09670295554137463,0.1013875,0.13888888888888892,0.00596020716087077
2025-07-20,KXHIGHNY-25JUL20,train,6,1.055,120,0.03833333333333332,0.1248923728877009,0.12638282659184544,0.12484583333333332,0.13888888888888892,-0.001490453704144537
2025-07-21,KXHIGHNY-25JUL21,train,6,1.05,300,0.033333333333333326,0.13200302343159484,0.13640824699031032,0.13244999999999998,0.13888888888888892,-0.0044052235587154764
2025-07-22,KXHIGHNY-25JUL22,train,6,1.08,780,0.02666666666666666,0.1437185642432556,0.15233388901102266,0.14576666666666668,0.13888888888888892,-0.008615324767767052
2025-07-23,KXHIGHNY-25JUL23,train,6,1.11,660,0.03000000000000001,0.04350296242188136,0.028752169813752195,0.03746666666666667,0.1388888888888889,0.014750792608129167
2025-07-24,KXHIGHNY-25JUL24,train,6,1.035,300,0.041666666666666685,0.08967148202602938,0.08109630788768749,0.0885625,0.13888888888888892,0.008575174138341898
2025-07-25,KXHIGHNY-25JUL25,train,6,1.0250000000000001,720,0.04833333333333333,0.1188419591512988,0.12127435005307631,0.11879583333333334,0.13888888888888892,-0.0024323909017775064
2025-07-26,KXHIGHNY-25JUL26,train,6,1.04,1560,0.04666666666666666,0.07049741124260354,0.05776729733281269,0.06865,0.13888888888888892,0.012730113909790855
2025-07-27,KXHIGHNY-25JUL27,train,6,1.06,120,0.04,0.15182597602942918,0.16130686346838133,0.1537916666666667,0.13888888888888892,-0.009480887438952146
2025-07-28,KXHIGHNY-25JUL28,train,6,1.07,1440,0.04000000000000001,0.13718083093137684,0.1440452788369128,0.13839166666666666,0.13888888888888892,-0.0068644479055359475
2025-07-29,KXHIGHNY-25JUL29,train,6,1.01,120,0.023333333333333327,0.0876629742182139,0.07914512338204814,0.087325,0.13888888888888892,0.008517850836165755
2025-07-30,KXHIGHNY-25JUL30,train,6,1.0250000000000001,600,0.04833333333333332,0.08309339678762644,0.07303431595118125,0.08215416666666667,0.13888888888888892,0.010059080836445189
2025-07-31,KXHIGHNY-25JUL31,train,6,1.05,60,0.05666666666666667,0.20034769463340893,0.21032903258354443,0.20438333333333336,0.13888888888888892,-0.009981337950135505
2025-08-01,KXHIGHNY-25AUG01,train,6,1.0050000000000001,1320,0.02833333333333334,0.08421408711005503,0.07329869720820913,0.0840125,0.13888888888888892,0.010915389901845901
2025-08-02,KXHIGHNY-25AUG02,train,6,1.02,540,0.03999999999999999,0.08188357042163272,0.07120520409920345,0.08109166666666666,0.13888888888888892,0.010678366322429272
2025-08-03,KXHIGHNY-25AUG03,train,6,1.02,480,0.04,0.09180763808791492,0.08387314454590288,0.09118333333333334,0.13888888888888892,0.007934493542012047
2025-08-04,KXHIGHNY-25AUG04,train,6,1.0,300,0.03666666666666667,0.08298333333333334,0.07212403588445994,0.08298333333333334,0.13888888888888892,0.0108592974488734
2025-08-05,KXHIGHNY-25AUG05,train,6,1.0150000000000001,420,0.04833333333333334,0.11588892394056312,0.1169752458112272,0.11577916666666667,0.13888888888888892,-0.0010863218706640837
2025-08-06,KXHIGHNY-25AUG06,train,6,1.0250000000000001,180,0.051666666666666666,0.11594685702954588,0.11779821386014162,0.1158375,0.13888888888888892,-0.0018513568305957434
2025-08-07,KXHIGHNY-25AUG07,train,6,0.995,1080,0.041666666666666664,0.07164802235633781,0.05958618914598151,0.07187916666666667,0.13888888888888892,0.012061833210356303
2025-08-08,KXHIGHNY-25AUG08,train,6,1.0350000000000001,120,0.04833333333333333,0.08087314367507602,0.07081132903091472,0.07954583333333333,0.13888888888888892,0.010061814644161296
