date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2025-08-31,KXHIGHMIA-25AUG31,train,6,1.0350000000000001,480,0.04166666666666668,93.0,0.19733638280162116,0.09697395565264806,0.2001625,0.13888888888888892,0.1003624271489731
2025-09-01,KXHIGHMIA-25SEP01,train,6,1.1,840,0.026666666666666658,93.0,0.15068181818181817,0.12218349504348906,0.15432500000000002,0.13888888888888892,0.028498323138329104
2025-09-02,KXHIGHMIA-25SEP02,train,6,1.08,180,0.036666666666666674,93.0,0.16314443301326018,0.08797414156376493,0.166825,0.13888888888888892,0.07517029144949525
2025-09-03,KXHIGHMIA-25SEP03,train,6,1.06,240,0.04,92.0,0.08695265218939124,0.14650948931525132,0.085,0.13888888888888892,-0.059556837125860074
2025-09-04,KXHIGHMIA-25SEP04,train,6,1.05,540,0.03666666666666665,91.0,0.10220710506424795,0.14151038770686225,0.10143333333333336,0.13888888888888892,-0.039303282642614304
2025-09-05,KXHIGHMIA-25SEP05,train,6,1.0150000000000001,240,0.028333333333333332,89.0,0.20341834712481902,0.14014880545015587,0.20470416666666666,0.13888888888888892,0.06326954167466314
2025-09-06,KXHIGHMIA-25SEP06,train,6,1.035,780,0.051666666666666666,88.0,0.0942845807370067,0.14275841912124979,0.09327083333333334,0.13888888888888892,-0.04847383838424309
2025-09-07,KXHIGHMIA-25SEP07,train,6,1.06,480,0.04,91.0,0.1461967485463391,0.09609734442390032,0.14786666666666667,0.13888888888888892,0.05009940412243878
2025-09-08,KXHIGHMIA-25SEP08,train,6,1.075,900,0.034999999999999996,90.0,0.13817198485667928,0.09666834216233067,0.1396125,0.13888888888888892,0.041503642694348614
2025-09-09,KXHIGHMIA-25SEP09,train,6,1.13,240,0.12333333333333334,91.0,0.07813846033362047,0.11777557351879782,0.07290833333333332,0.13888888888888892,-0.03963711318517735
2025-09-10,KXHIGHMIA-25SEP10,train,6,1.05,240,0.043333333333333335,92.0,0.16924414210128494,0.10440439968369793,0.17175833333333335,0.13888888888888892,0.06483974241758701
